curve_set,topic,group,label,n_bootstrap_usable,central_best_coordinate,central_best_coordinate_class,p_eta,p_beta,p_Xc,p_epsilon,p_h_ext,p_senogenic,p_robustness,p_extrinsic,central_distance_eta,central_distance_beta,central_distance_Xc,central_distance_epsilon,central_distance_h_ext,central_best_distance,central_second_distance,central_distance_margin
xc_std_frac_high,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0033333333333333335,0.0,0.03,0.11666666666666667,0.85,0.0033333333333333335,0.14666666666666667,0.85,0.2860766533179893,0.19614067337481772,0.064319303104356,0.04807666391193514,0.00104312063215244,0.00104312063215244,0.04807666391193514,0.047033543279782694
xc_std_frac_low,sleep_duration,1-<5 hours,1-5 h sleep,300,h_ext,extrinsic,0.0,0.0033333333333333335,0.03,0.14333333333333334,0.8233333333333334,0.0033333333333333335,0.17333333333333334,0.8233333333333334,0.2904520549999957,0.19114015496020206,0.06813858006034869,0.048533254488040106,0.006169115276439412,0.006169115276439412,0.048533254488040106,0.04236413921160069
mean_model_curve,sleep_duration,5-<7 hours,5-7 h sleep,300,h_ext,extrinsic,0.13,0.06333333333333334,0.04666666666666667,0.02666666666666667,0.7333333333333333,0.19333333333333333,0.07333333333333333,0.7333333333333333,0.03359494424920734,0.0375132802837484,0.025627575786575017,0.02320440767579814,0.017882585596326193,0.017882585596326193,0.02320440767579814,0.005321822079471947
Xc_high,sleep_duration,5-<7 hours,5-7 h sleep,300,h_ext,extrinsic,0.12,0.05,0.04666666666666667,0.02666666666666667,0.7566666666666667,0.17,0.07333333333333333,0.7566666666666667,0.0377681886833556,0.036478309780082964,0.025932722286484286,0.021285546379925434,0.01744214979017351,0.01744214979017351,0.021285546379925434,0.0038433965897519233
Xc_low,sleep_duration,5-<7 hours,5-7 h sleep,300,h_ext,extrinsic,0.13,0.07666666666666666,0.02,0.06666666666666667,0.7066666666666667,0.20666666666666667,0.08666666666666667,0.7066666666666667,0.03030721330020565,0.03532398838072838,0.027918270266255128,0.02450236457809696,0.01900481647398083,0.01900481647398083,0.02450236457809696,0.00549754810411613
beta_high,sleep_duration,5-<7 hours,5-7 h sleep,300,h_ext,extrinsic,0.15,0.05333333333333334,0.03666666666666667,0.023333333333333334,0.7366666666666667,0.20333333333333334,0.06,0.7366666666666667,0.0331014940994521,0.04287320951809848,0.025459375725907913,0.022436193048320577,0.017080121624895948,0.017080121624895948,0.022436193048320577,0.005356071423424629
beta_low,sleep_duration,5-<7 hours,5-7 h sleep,300,h_ext,extrinsic,0.14333333333333334,0.06666666666666667,0.04666666666666667,0.03666666666666667,0.7066666666666667,0.21,0.08333333333333333,0.7066666666666667,0.031059155288174146,0.035715975191964004,0.0276515254061943,0.024101413941077034,0.020680032960026205,0.020680032960026205,0.024101413941077034,0.003421380981050829
central,sleep_duration,5-<7 hours,5-7 h sleep,300,h_ext,extrinsic,0.12333333333333334,0.056666666666666664,0.056666666666666664,0.03,0.7333333333333333,0.18,0.08666666666666667,0.7333333333333333,0.03262265965621139,0.03593209519514678,0.024254474714062505,0.021320618014437888,0.016934379723646326,0.016934379723646326,0.021320618014437888,0.004386238290791562
epsilon_high,sleep_duration,5-<7 hours,5-7 h sleep,300,h_ext,extrinsic,0.17,0.09666666666666666,0.04666666666666667,0.043333333333333335,0.6433333333333333,0.26666666666666666,0.09,0.6433333333333333,0.02090070885453711,0.034152162478167485,0.02504590105887607,0.024418362905045912,0.017352825627442583,0.017352825627442583,0.02090070885453711,0.003547883227094529
epsilon_low,sleep_duration,5-<7 hours,5-7 h sleep,300,h_ext,extrinsic,0.12333333333333334,0.056666666666666664,0.05,0.02666666666666667,0.7433333333333333,0.18,0.07666666666666666,0.7433333333333333,0.03583657206495442,0.036713714467921925,0.023058618093609165,0.021383685340315435,0.016047483314508684,0.016047483314508684,0.021383685340315435,0.005336202025806751
