scenario,year,age,survival,survival low,survival high
exponential,2060,2,0.999418,0.999377,0.999469
exponential,2060,3,0.999127,0.999051,0.999172
exponential,2060,4,0.998818,0.998721,0.998877
exponential,2060,5,0.998512,0.998423,0.998591
exponential,2060,6,0.998213,0.998115,0.998294
exponential,2060,7,0.997943,0.997791,0.998028
exponential,2060,8,0.997636,0.997477,0.997757
exponential,2060,9,0.99736,0.997197,0.997467
exponential,2060,10,0.997088,0.996855,0.997197
exponential,2060,11,0.996781,0.996528,0.99693
exponential,2060,12,0.996497,0.996224,0.99667
exponential,2060,13,0.996198,0.995939,0.996387
exponential,2060,14,0.995907,0.995622,0.996084
exponential,2060,15,0.995593,0.995323,0.99579
exponential,2060,16,0.995312,0.995017,0.99552
exponential,2060,17,0.994974,0.994708,0.995255
exponential,2060,18,0.994715,0.994415,0.994938
exponential,2060,19,0.994442,0.994117,0.994678
exponential,2060,20,0.994139,0.993793,0.994395
exponential,2060,21,0.993828,0.993519,0.994115
exponential,2060,22,0.993515,0.99321,0.993839
exponential,2060,23,0.993203,0.99291,0.993556
exponential,2060,24,0.992937,0.992617,0.99328
exponential,2060,25,0.992643,0.992297,0.993012
exponential,2060,26,0.992387,0.992008,0.992737
exponential,2060,27,0.99209,0.991658,0.992478
exponential,2060,28,0.991824,0.991362,0.992191
exponential,2060,29,0.991524,0.991042,0.991943
exponential,2060,30,0.991226,0.990719,0.991642
exponential,2060,31,0.99092,0.990381,0.991366
exponential,2060,32,0.990625,0.990045,0.991096
exponential,2060,33,0.990346,0.989754,0.990802
exponential,2060,34,0.99004,0.989402,0.99052
exponential,2060,35,0.989742,0.989061,0.990224
exponential,2060,36,0.989435,0.988734,0.989944
exponential,2060,37,0.989141,0.988389,0.989663
exponential,2060,38,0.988851,0.988012,0.989363
exponential,2060,39,0.988502,0.987682,0.98904
exponential,2060,40,0.988185,0.987332,0.988712
exponential,2060,41,0.987863,0.986962,0.98841
exponential,2060,42,0.987523,0.986592,0.988118
exponential,2060,43,0.987164,0.986194,0.987795
exponential,2060,44,0.986792,0.985844,0.987466
exponential,2060,45,0.986431,0.985442,0.987127
exponential,2060,46,0.986055,0.985026,0.986749
exponential,2060,47,0.985631,0.98455,0.986371
exponential,2060,48,0.985213,0.984111,0.985973
exponential,2060,49,0.98476,0.983593,0.985545
exponential,2060,50,0.984303,0.983083,0.985103
exponential,2060,51,0.983829,0.982527,0.98463
exponential,2060,52,0.98329,0.981871,0.984079
exponential,2060,53,0.982729,0.981192,0.983482
exponential,2060,54,0.982109,0.980529,0.982885
exponential,2060,55,0.981433,0.979725,0.982193
exponential,2060,56,0.98066,0.978847,0.981434
exponential,2060,57,0.979868,0.977838,0.980545
exponential,2060,58,0.978938,0.976693,0.979568
exponential,2060,59,0.977825,0.975391,0.978519
exponential,2060,60,0.976563,0.973914,0.977336
exponential,2060,61,0.975186,0.972289,0.975986
exponential,2060,62,0.973561,0.970397,0.974385
exponential,2060,63,0.971763,0.968235,0.9726
exponential,2060,64,0.969713,0.9657,0.970438
exponential,2060,65,0.967308,0.962833,0.967991
exponential,2060,66,0.964553,0.959574,0.965184
exponential,2060,67,0.961198,0.955654,0.961983
exponential,2060,68,0.957443,0.95125,0.958295
exponential,2060,69,0.953139,0.94616,0.953998
exponential,2060,70,0.948041,0.940352,0.948981
exponential,2060,71,0.942377,0.933561,0.943171
exponential,2060,72,0.935641,0.925766,0.936431
exponential,2060,73,0.927796,0.91686,0.928571
exponential,2060,74,0.918998,0.906722,0.919626
