year,Median,Top 10%,Top 1%,Top 0.01%,Median smoothed,Top 10% smoothed,Top 1% smoothed,Top 0.01% smoothed
2004,83.52683873091549,94.01507748637563,100.40645961676799,108.00676551123696,83.37567624912067,93.80979232092837,100.18264914408802,107.6892426467626
2005,83.5289875379162,93.95252355593023,100.34928753836441,107.86651116917999,83.57967062325285,93.96551029150889,100.319014029295,107.80566709659804
2006,83.80591459748939,94.10855236472027,100.40568338647023,107.86706307764388,83.77522249281233,94.07097268866207,100.38324773799044,107.83663526029747
2007,83.91390215819847,94.10002714898236,100.33711881449298,107.71144091751661,83.93827202727309,94.15441481983046,100.43475491656773,107.83691702631054
2008,84.10046943954215,94.1786828873019,100.41768933385661,107.73139562590993,84.11189826164632,94.25887773753256,100.50673740292326,107.88912128380362
2009,84.34208640321924,94.43228814221759,100.66399550965437,108.00817434130231,84.27566374742322,94.36112032006608,100.59127217423902,107.9584705278877
2010,84.39711870978236,94.47483814444062,100.70919997014212,108.12753245664537,84.4163699911098,94.43895333679164,100.63939383923758,107.98935809908434
2011,84.62474202637391,94.61976527738791,100.828357243049,108.21380929806428,84.56381098647812,94.55991334978557,100.7401875683479,108.09713216891532
2012,84.6174333766313,94.48919223261018,100.57772713948586,107.86587877349982,84.71927805816452,94.68570372813492,100.84437190611597,108.19389271730736
2013,84.83767441638378,94.7834829522716,100.92165797940817,108.27026597506487,84.86159696273157,94.77998439905903,100.91425415795182,108.23753523073519
2014,85.11942176165122,95.06124003396425,101.18491719849469,108.49197708326238,84.98346955199294,94.86786882857913,100.97761026833862,108.27532441824107
2015,85.10871323261769,94.94624149906119,101.05861122932131,108.34574502378462,85.12658365544729,94.97648133057763,101.06972180564543,108.3561206730698
2016,85.2341049726807,95.05918742498848,101.14513779498309,108.40275523559365,85.24120047062404,95.05075158147353,101.12296711863473,108.38258769433136
2017,85.3330038939031,95.03225474260257,101.03828482601986,108.26986004764349,85.39708032673039,95.16467018523302,101.23435290832046,108.48543567062889
2018,85.41075849226753,95.15483420675119,101.18788454435469,108.40260108137267,85.42049931852766,95.13121851520683,101.18449686037619,108.41766628996656
2019,85.89882104218295,95.63083305276173,101.74184614692338,109.00621696475,85.4670979049894,95.14922628776141,101.19433662672445,108.4213940535598
2020,85.22580819160402,94.77898314893011,100.80933098959983,108.00689812047301,85.51179590868485,95.18821680281435,101.24635389362597,108.47190538886521
